Nama,Lokasi,Fasilitas,Review,Harga
Kost Mahasiswa Keputih Tipe B,Kecamatan Sukolilo,"WiFi·AC·Kloset Duduk·Kasur
4.6",4.6,Rp1.267.000
Kost Griya 4S,Sukolilo,"K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam
4.6",4.6,Rp1.286.000
Kost Klampis Aji II Tipe C,Kecamatan Sukolilo,"WiFi·Kloset Duduk·Kasur
4.5",4.5,Rp849.500
Kost Bumi Marina Emas Tipe B,Sukolilo,"WiFi·Kasur·Akses 24 Jam
4.1",4.1,Rp786.600
Kost Hub E,Kecamatan Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,,Rp2.200.000
Kost Hub D 1,Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur,,Rp2.099.998
Kost Klampis Aji II Tipe B,Kecamatan Sukolilo,"WiFi·AC·Kloset Duduk·Kasur
4.8",4.8,Rp1.528.500
Kost Mahasiswa Keputih Tipe A,Kecamatan Sukolilo,"WiFi·AC·Kloset Duduk·Kasur
4.5",4.5,Rp1.189.000
Kost Klampis Aji II Tipe A,Kecamatan Sukolilo,"K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur
4.5",4.5,Rp1.589.000
Kost As Sholihin Tipe A,Sukolilo,WiFi·Kasur·Akses 24 Jam,,Rp610.000
Kost Eko Tipe Executive,Kecamatan Sukolilo,WiFi·AC·Kasur·Akses 24 Jam,,Rp1.500.000
Kost Bumi Marina Emas Tipe A,Sukolilo,"WiFi·AC·Kasur·Akses 24 Jam
4.4",4.4,Rp1.366.200
Kost Bu Antono TMB 7 Tipe B Mulyorejo,Sukolilo,Kasur·Akses 24 Jam,,Rp700.000
Kost Bu Fat Tipe A,Kecamatan Sukolilo,K. Mandi Dalam·WiFi·Kasur·Akses 24 Jam,,Rp900.000
Kost SPR,Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur,,Rp1.300.000
Kost Sacharosa 60,Sukolilo,"Kasur·Akses 24 Jam
4.6",4.6,Rp560.000
Kost U21 Perumdos ITS,Sukolilo,WiFi·AC·Kasur·Akses 24 Jam,,Rp1.200.000
Kost Pak Suraji Tipe B,Sukolilo,Kasur·Akses 24 Jam,,Rp550.000
Kost Mario,Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,,Rp1.500.000
Kost Pratama Bhaskara Tipe Ac,Kecamatan Mulyorejo,AC·Kloset Duduk·Kasur·Akses 24 Jam,,Rp1.100.000
Kost MU Bumi Marina Emas,Kecamatan Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp2.100.000
Kost Semolowaru Tipe A,Kecamatan Sukolilo,"WiFi·Kasur·Akses 24 Jam
5.0",-,Rp600.000
Kost Ibu Tri Wisma Permai,Mulyorejo,"WiFi·Kasur·Akses 24 Jam
4.9",-,Rp1.000.000
Kost Semolowaru Utara Tipe A,Kecamatan Sukolilo,Kasur·Akses 24 Jam,-,Rp600.000
Kost Rka 1,Sukolilo,WiFi·Kasur·Akses 24 Jam,-,Rp1.100.000
Kost Viviyen VVIP,Mulyorejo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp2.700.000
Kost Aj i21 Jalan Klampis Aji,Kecamatan Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur,-,Rp2.000.000
Kost Maha Cita Tipe A,Kecamatan Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.500.000
Kost Me Home 301 Tipe B,Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur,-,Rp2.900.000
Kost Ammar Faiq,Sukolilo,WiFi·Kasur,-,Rp750.000
Kost Me Home 301 Tipe A,Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur,-,Rp2.750.000
Kost Putra 332,Sukolilo,WiFi·Kasur·Akses 24 Jam,-,Rp460.000
Kost Dachlan Tipe F,Mulyorejo,WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.400.000
Kost Apel Tipe 2,Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.350.000
Kost Ibu Aris VVIP,Kecamatan Mulyorejo,WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.600.000
Kost Kampus ITS Ac,Kecamatan Sukolilo,AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.200.000
Kost Pelajar BME Tipe B,Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur,-,Rp1.650.000
Kost City Home N2,Kecamatan Sukolilo,AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.170.000
Kost Pastelle Premium,Kecamatan Mulyorejo,K. Mandi Dalam·WiFi·AC·Kasur,-,Rp2.800.000
Kost Apel Tipe 1,Sukolilo,WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.800.000
Kost Happy Home,Kecamatan Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp2.000.000
Kost Kampus Tipe M,Kecamatan Sukolilo,WiFi·AC·Kasur·Akses 24 Jam,-,Rp1.400.000
Kost Pak Isnen,Sukolilo,WiFi·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp600.000
Kost Dachlan Tipe C,Mulyorejo,WiFi·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp700.000
Kost Homey Keputih ITS,Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.200.000
Kost Pak Untung,Kecamatan Sukolilo,Kasur·Akses 24 Jam,-,Rp600.000
Kost Homi SPR,Sukolilo,AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.100.000
Kost Bougenville 3 Tipe Deluxe,Sukolilo,WiFi·AC·Kloset Duduk·Kasur,-,Rp1.250.000
Kost Pak Pri,Mulyorejo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.300.000
Kost Irene Azalia Cristanto Tipe A,Mulyorejo,AC·Kloset Duduk·Kasur,-,Rp1.550.000
Kost ITS 2 Tipe H,Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.400.000
Kost ITS 2 Tipe E,Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.300.000
Kost Suem I Kampus ITS,Kecamatan Sukolilo,WiFi·AC·Kloset Duduk·Kasur,-,Rp1.300.000
Kost Keputih Makam Blk,Kecamatan Sukolilo,Kasur,-,Rp500.000
Kost Prime Sutorejo Prima Tipe A,Mulyorejo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur,-,Rp2.000.000
Kost Ummi Ali,Kecamatan Mulyorejo,WiFi·Kasur·Akses 24 Jam,-,Rp650.000
Kost Dten Homestay Junior,Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur,-,Rp1.200.000
Kost Ktt 23 R,Kecamatan Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur,-,Rp1.200.000
Kost Bu Antono TMB 7 Tipe A,Mulyorejo,Kasur·Akses 24 Jam,-,Rp550.000
Kost Harsa Martawiryana,Sukolilo,"WiFi·Kloset Duduk·Kasur·Akses 24 Jam
5.0",-,Rp800.000
Kost Teknik Sipil Blok X,Sukolilo,WiFi·Kloset Duduk·Akses 24 Jam,-,Rp685.000
Kost Goldieast,Kecamatan Sukolilo,WiFi·AC·Kloset Duduk,-,Rp1.700.000
Kost ITS Poltek Tipe B,Mulyorejo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.250.000
Kost Bu Marina Tipe A,Sukolilo,WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.250.000
Kost Go 77 Tipe A,Kecamatan Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.900.000
Kost Stayvie Coliving Panozzanine Sky Loft Single Premium,Kecamatan Mulyorejo,K. Mandi Dalam·WiFi·AC·Kloset Duduk,-,Rp3.000.000
Kost Jl Keputih Tegal Timur III B,Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.400.000
Kost La Koste Its City Home B6,Kecamatan Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.950.000
Kost Adi 1,Sukolilo,"WiFi·Kloset Duduk·Kasur·Akses 24 Jam
5.0",-,Rp800.000
Kost Merr 91 Strategis,Sukolilo,WiFi·AC·Kloset Duduk·Kasur,-,Rp1.300.000
Kost 23 Bang Dul,Sukolilo,WiFi·Kasur·Akses 24 Jam,-,Rp700.000
Kost Mafaza House Tipe Modern,Kecamatan Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.500.000
Kost Pak Ran,Sukolilo,"WiFi·Kasur·Akses 24 Jam
5.0",-,Rp550.000
Kost Blok M Farida,Sukolilo,K. Mandi Dalam·WiFi·AC·Kasur·Akses 24 Jam,-,Rp1.550.000
Kost Blok U Farida Tipe A,Sukolilo,WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.300.000
Kost Mulyosari Mas Tipe A,Mulyorejo,WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.500.000
Kost Pelajar BME Tipe A,Kecamatan Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.850.000
Kost HnH Residence Executive,Mulyorejo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp2.100.000
Kost Suem II,Kecamatan Sukolilo,AC·Kloset Duduk,-,Rp1.000.000
Kost Stayvie Coliving Panozzanine Sky Loft Compact Single,Kecamatan Mulyorejo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur,-,Rp2.400.000
Kost Bhaskara Sari 9,Kecamatan Mulyorejo,WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.500.000
Kost Bougenville 4 SPR B21 Junior,Kecamatan Sukolilo,WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.150.000
Kost Griyaku Deluxe,Kecamatan Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.650.000
Kost ITS Poltek Tipe Kamar,Mulyorejo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.500.000
Kost Dten Homestay Tipe Standard,Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur,-,Rp1.350.000
Kost Dten Homestay Tipe Deluxe Prima,Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur,-,Rp1.500.000
Kost Dachlan Tipe A,Mulyorejo,WiFi·Kloset Duduk·Kasur,-,Rp600.000
Kost Klampis Semolo Tipe A,Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp850.000
Kost Dten Homestay Pavilliun,Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur,-,Rp1.350.000
Kost Ardina House Keputih Tipe B,Sukolilo,WiFi·Kloset Duduk·Kasur,-,Rp850.000
Kost Dten Homestay Tipe VIP,Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur,-,Rp2.500.000
Kost Ardina House Keputih Tipe C,Sukolilo,K. Mandi Dalam·WiFi·Kloset Duduk·Kasur,-,Rp950.000
Kost Oma Tipe A,Kecamatan Mulyorejo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.300.000
Kost Deby Tipe B,Kecamatan Sukolilo,WiFi·AC·Kasur,-,Rp1.200.000
Kost Semolowaru 1,Sukolilo,WiFi·Kasur·Akses 24 Jam,-,Rp500.000
Kost Park Regency Exevutive,Sukolilo,WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.150.000
Kost Bougenville 4 SPR B21 Deluxe,Kecamatan Sukolilo,WiFi·AC·Kloset Duduk·Kasur,-,Rp1.749.999
Kost Obie SPI,Mulyorejo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur,-,Rp1.500.000
Kost Ardina House Keputih Tipe A,Sukolilo,WiFi·Kloset Duduk·Kasur,-,Rp800.000
Kost Azalia Wisper,Mulyorejo,WiFi·AC·Kloset Duduk·Kasur,-,Rp1.500.000
