Nama,Lokasi,Fasilitas,Review,Harga
Kost Mahasiswa Keputih Tipe B,Sukolilo,"WiFi, AC, Kloset Duduk, Kasur",4.6,1267000
Kost Griya 4S,Sukolilo,"K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam",4.6,1286000
Kost Klampis Aji II Tipe C,Sukolilo,"WiFi, Kloset Duduk, Kasur",4.5,849500
Kost Bumi Marina Emas Tipe B,Sukolilo,"WiFi, Kasur, Akses 24 Jam",4.1,786600
Kost Hub E,Sukolilo,"K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam",,2200000
Kost Hub D 1,Sukolilo,"K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur",,2099998
Kost Klampis Aji II Tipe B,Sukolilo,"WiFi, AC, Kloset Duduk, Kasur",4.8,1528500
Kost Mahasiswa Keputih Tipe A,Sukolilo,"WiFi, AC, Kloset Duduk, Kasur",4.5,1189000
Kost Klampis Aji II Tipe A,Sukolilo,"K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur",4.5,1589000
Kost As Sholihin Tipe A,Sukolilo,"WiFi, Kasur, Akses 24 Jam",,610000
Kost Eko Tipe Executive,Sukolilo,"WiFi, AC, Kasur, Akses 24 Jam",,1500000
Kost Bumi Marina Emas Tipe A,Sukolilo,"WiFi, AC, Kasur, Akses 24 Jam",4.4,1366200
Kost Bu Antono TMB 7 Tipe B Mulyorejo,Sukolilo,"Kasur, Akses 24 Jam",,700000
Kost Bu Fat Tipe A,Sukolilo,"K. Mandi Dalam, WiFi, Kasur, Akses 24 Jam",,900000
Kost SPR,Sukolilo,"K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur",,1300000
Kost Sacharosa 60,Sukolilo,"Kasur, Akses 24 Jam",4.6,560000
Kost U21 Perumdos ITS,Sukolilo,"WiFi, AC, Kasur, Akses 24 Jam",,1200000
Kost Pak Suraji Tipe B,Sukolilo,"Kasur, Akses 24 Jam",,550000
Kost Mario,Sukolilo,"K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam",,1500000
Kost Pratama Bhaskara Tipe Ac,Mulyorejo,"AC, Kloset Duduk, Kasur, Akses 24 Jam",,1100000
Kost MU Bumi Marina Emas,Sukolilo,"K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam",-,2100000
Kost Semolowaru Tipe A,Sukolilo,"WiFi, Kasur, Akses 24 Jam",-,600000
Kost Ibu Tri Wisma Permai,Mulyorejo,"WiFi, Kasur, Akses 24 Jam",-,1000000
Kost Semolowaru Utara Tipe A,Sukolilo,"Kasur, Akses 24 Jam",-,600000
Kost Rka 1,Sukolilo,"WiFi, Kasur, Akses 24 Jam",-,1100000
Kost Viviyen VVIP,Mulyorejo,"K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam",-,2700000
Kost Aj i21 Jalan Klampis Aji,Sukolilo,"K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur",-,2000000
Kost Maha Cita Tipe A,Sukolilo,"K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam",-,1500000
Kost Me Home 301 Tipe B,Sukolilo,"K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur",-,2900000
Kost Ammar Faiq,Sukolilo,"WiFi, Kasur",-,750000
Kost Me Home 301 Tipe A,Sukolilo,"K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur",-,2750000
Kost Putra 332,Sukolilo,"WiFi, Kasur, Akses 24 Jam",-,460000
Kost Dachlan Tipe F,Mulyorejo,"WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam",-,1400000
Kost Apel Tipe 2,Sukolilo,"K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam",-,1350000
Kost Ibu Aris VVIP,Mulyorejo,"WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam",-,1600000
Kost Kampus ITS Ac,Sukolilo,"AC, Kloset Duduk, Kasur, Akses 24 Jam",-,1200000
Kost Pelajar BME Tipe B,Sukolilo,"K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur",-,1650000
Kost City Home N2,Sukolilo,"AC, Kloset Duduk, Kasur, Akses 24 Jam",-,1170000
Kost Pastelle Premium,Mulyorejo,"K. Mandi Dalam, WiFi, AC, Kasur",-,2800000
Kost Apel Tipe 1,Sukolilo,"WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam",-,1800000
Kost Happy Home,Sukolilo,"K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam",-,2000000
Kost Kampus Tipe M,Sukolilo,"WiFi, AC, Kasur, Akses 24 Jam",-,1400000
