Nama,Lokasi,Fasilitas,Review,Harga
Kost Mario,Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,,Rp1.500.000
Kost Hub E,Kecamatan Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,,Rp2.200.000
Kost Maha Cita Tipe A,Kecamatan Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,,Rp1.500.000
Kost Griya 4S,Sukolilo,"K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam
4.6",4.6,Rp1.286.000
Kost Bumi Marina Emas Tipe B,Sukolilo,"WiFi·Kasur·Akses 24 Jam
4.0",4.0,Rp786.600
Kost As Sholihin Tipe A,Sukolilo,WiFi·Kasur·Akses 24 Jam,,Rp610.000
Kost Eko Tipe Executive,Kecamatan Sukolilo,WiFi·AC·Kasur·Akses 24 Jam,,Rp1.500.000
Kost Bumi Marina Emas Tipe A,Sukolilo,"WiFi·AC·Kasur·Akses 24 Jam
4.4",4.4,Rp1.366.200
Kost Blok U Farida Tipe A,Sukolilo,WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,,Rp1.300.000
Kost Park Regency Exevutive,Sukolilo,WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,,Rp1.150.000
Kost Bu Fat Tipe A,Kecamatan Sukolilo,K. Mandi Dalam·WiFi·Kasur·Akses 24 Jam,,Rp900.000
Kost Gilang,Kecamatan Sukolilo,WiFi·Kasur·Akses 24 Jam,,Rp550.000
Kost Tutik Keputih Tipe A,Sukolilo,WiFi·Kasur·Akses 24 Jam,,Rp650.000
Kost Faist Executive,Kecamatan Sukolilo,WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,,Rp1.700.000
Kost Rka 3 Tipe A,Sukolilo,"K. Mandi Dalam·WiFi·Kloset Duduk·Kasur·Akses 24 Jam
5.0",5.0,Rp950.000
Kost MU Bumi Marina Emas,Kecamatan Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,,Rp2.100.000
Kost Rka 1,Sukolilo,WiFi·Kasur·Akses 24 Jam,,Rp1.100.000
Kost Semolowaru Tipe A,Kecamatan Sukolilo,"WiFi·Kasur·Akses 24 Jam
5.0",5.0,Rp600.000
Kost Viviyen VVIP,Mulyorejo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,,Rp2.700.000
Kost Go 77 Tipe A,Kecamatan Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,,Rp1.900.000
Kost Ibu Tri Wisma Permai,Mulyorejo,"WiFi·Kasur·Akses 24 Jam
4.9",-,Rp1.000.000
Kost Happy Home,Kecamatan Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp2.000.000
Kost ITS Hangtuah Ppns Pens,Kecamatan Sukolilo,WiFi·Kasur·Akses 24 Jam,-,Rp700.000
Kost Putra 332,Sukolilo,WiFi·Kasur·Akses 24 Jam,-,Rp460.000
Kost Apel Tipe 2,Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.350.000
Kost Apel Tipe 1,Sukolilo,WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.800.000
Kost Rka 2 Tipe A,Sukolilo,WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp950.000
Kost Ibu Aris VVIP,Kecamatan Mulyorejo,WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.600.000
Kost Dachlan Tipe F,Mulyorejo,WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.400.000
Kost Felix VIP,Kecamatan Mulyorejo,"K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam
4.5",-,Rp1.600.000
Kost Pak Isnen,Sukolilo,WiFi·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp600.000
Kost Dachlan Tipe C,Mulyorejo,WiFi·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp700.000
Kost 23 Bang Dul,Sukolilo,WiFi·Kasur·Akses 24 Jam,-,Rp700.000
Kost Jack Orenji Executive,Kecamatan Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.500.000
Kost Bougenville 4 SPR B21 Junior,Kecamatan Sukolilo,WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.150.000
Kost Bu Istikharo Tipe A,Kecamatan Sukolilo,WiFi·Kasur·Akses 24 Jam,-,Rp700.000
Kost Gebang Kidul Tipe A,Kecamatan Sukolilo,WiFi·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp900.000
Kost Semolowaru 1,Sukolilo,WiFi·Kasur·Akses 24 Jam,-,Rp500.000
Kost Bhaskara Sari 9,Kecamatan Mulyorejo,WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.500.000
Kost Mulyosari Mas Tipe A,Mulyorejo,WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.500.000
Kost Blok M Farida,Sukolilo,K. Mandi Dalam·WiFi·AC·Kasur·Akses 24 Jam,-,Rp1.550.000
Kost ITS Poltek Tipe Kamar,Mulyorejo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.500.000
Kost Bu Marina Tipe A,Sukolilo,WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.250.000
Kost Harsa Martawiryana,Sukolilo,"WiFi·Kloset Duduk·Kasur·Akses 24 Jam
5.0",-,Rp800.000
Kost Kampus Tipe M,Kecamatan Sukolilo,WiFi·AC·Kasur·Akses 24 Jam,-,Rp1.400.000
Kost Pak Pri,Mulyorejo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.300.000
Kost HnH Residence Executive,Mulyorejo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp2.100.000
Kost ITS 2 Tipe H,Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.400.000
Kost Klampis Semolo Tipe A,Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp850.000
Kost La Koste Its City Home B6,Kecamatan Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.950.000
Kost ITS Poltek Tipe B,Mulyorejo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.250.000
Kost Bu Chatimah,Kecamatan Sukolilo,WiFi·Kasur·Akses 24 Jam,-,Rp650.000
Kost Oma Tipe A,Kecamatan Mulyorejo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.300.000
Kost Irene Azalia Cristanto Tipe B,Mulyorejo,WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.400.000
Kost Adi 1,Sukolilo,"WiFi·Kloset Duduk·Kasur·Akses 24 Jam
5.0",-,Rp800.000
Kost ITS 2 Tipe E,Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.300.000
Kost ITS 2 Tipe F,Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.500.000
Kost Emran Tipe A,Kecamatan Sukolilo,WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.000.000
Kost La Koste Its Spr C41,Kecamatan Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.850.000
