Nama;Lokasi;Fasilitas;Review; Harga ;;;
Kost Mario;Sukolilo;K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;; Rp1.500.000 ;;;
Kost Hub E;Sukolilo;K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;; Rp2.200.000 ;;;
Kost Maha Cita Tipe A;Sukolilo;K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;; Rp1.500.000 ;;;
Kost Griya 4S;Sukolilo;K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;4.6; Rp1.286.000 ;;;
Kost Bumi Marina Emas Tipe B;Sukolilo;WiFi, Kasur, Akses 24 Jam;4.0; Rp786.600 ;;;
Kost As Sholihin Tipe A;Sukolilo;WiFi, Kasur, Akses 24 Jam;; Rp610.000 ;;;
Kost Eko Tipe Executive;Sukolilo;WiFi, AC, Kasur, Akses 24 Jam;; Rp1.500.000 ;;;
Kost Bumi Marina Emas Tipe A;Sukolilo;WiFi, AC, Kasur, Akses 24 Jam;4.4; Rp1.366.200 ;;;
Kost Blok U Farida Tipe A;Sukolilo;WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;; Rp1.300.000 ;;;
Kost Park Regency Exevutive;Sukolilo;WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;; Rp1.150.000 ;;;
Kost Bu Fat Tipe A;Sukolilo;K. Mandi Dalam, WiFi, Kasur, Akses 24 Jam;; Rp900.000 ;;;
Kost Gilang;Sukolilo;WiFi, Kasur, Akses 24 Jam;; Rp550.000 ;;;
Kost Tutik Keputih Tipe A;Sukolilo;WiFi, Kasur, Akses 24 Jam;; Rp650.000 ;;;
Kost Faist Executive;Sukolilo;WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;; Rp1.700.000 ;;;
Kost Rka 3 Tipe A;Sukolilo;K. Mandi Dalam, WiFi, Kloset Duduk, Kasur, Akses 24 Jam;5.0; Rp950.000 ;;;
Kost MU Bumi Marina Emas;Sukolilo;K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;; Rp2.100.000 ;;;
Kost Rka 1;Sukolilo;WiFi, Kasur, Akses 24 Jam;; Rp1.100.000 ;;;
Kost Semolowaru Tipe A;Sukolilo;WiFi, Kasur, Akses 24 Jam;5.0; Rp600.000 ;;;
Kost Viviyen VVIP;Mulyorejo;K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;; Rp2.700.000 ;;;
Kost Go 77 Tipe A;Sukolilo;K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;; Rp1.900.000 ;;;
Kost Ibu Tri Wisma Permai;Mulyorejo;WiFi, Kasur, Akses 24 Jam;-; Rp1.000.000 ;;;
Kost Happy Home;Sukolilo;K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp2.000.000 ;;;
Kost ITS Hangtuah Ppns Pens;Sukolilo;WiFi, Kasur, Akses 24 Jam;-; Rp700.000 ;;;
Kost Putra 332;Sukolilo;WiFi, Kasur, Akses 24 Jam;-; Rp460.000 ;;;
Kost Apel Tipe 2;Sukolilo;K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.350.000 ;;;
Kost Apel Tipe 1;Sukolilo;WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.800.000 ;;;
Kost Rka 2 Tipe A;Sukolilo;WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp950.000 ;;;
Kost Ibu Aris VVIP;Mulyorejo;WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.600.000 ;;;
Kost Dachlan Tipe F;Mulyorejo;WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.400.000 ;;;
Kost Felix VIP;Mulyorejo;K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.600.000 ;;;
Kost Pak Isnen;Sukolilo;WiFi, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp600.000 ;;;
Kost Dachlan Tipe C;Mulyorejo;WiFi, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp700.000 ;;;
Kost 23 Bang Dul;Sukolilo;WiFi, Kasur, Akses 24 Jam;-; Rp700.000 ;;;
Kost Jack Orenji Executive;Sukolilo;K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.500.000 ;;;
Kost Bougenville 4 SPR B21 Junior;Sukolilo;WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.150.000 ;;;
Kost Bu Istikharo Tipe A;Sukolilo;WiFi, Kasur, Akses 24 Jam;-; Rp700.000 ;;;
Kost Gebang Kidul Tipe A;Sukolilo;WiFi, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp900.000 ;;;
Kost Semolowaru 1;Sukolilo;WiFi, Kasur, Akses 24 Jam;-; Rp500.000 ;;;
Kost Bhaskara Sari 9;Mulyorejo;WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.500.000 ;;;
Kost Mulyosari Mas Tipe A;Mulyorejo;WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.500.000 ;;;
Kost Blok M Farida;Sukolilo;K. Mandi Dalam, WiFi, AC, Kasur, Akses 24 Jam;-; Rp1.550.000 ;;;
Kost ITS Poltek Tipe Kamar;Mulyorejo;K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.500.000 ;;;
Kost Bu Marina Tipe A;Sukolilo;WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.250.000 ;;;
Kost Harsa Martawiryana;Sukolilo;WiFi, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp800.000 ;;;
Kost Kampus Tipe M;Sukolilo;WiFi, AC, Kasur, Akses 24 Jam;-; Rp1.400.000 ;;;
Kost Pak Pri;Mulyorejo;K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.300.000 ;;;
Kost HnH Residence Executive;Mulyorejo;K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp2.100.000 ;;;
Kost ITS 2 Tipe H;Sukolilo;K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.400.000 ;;;
Kost Klampis Semolo Tipe A;Sukolilo;K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp850.000 ;;;
Kost La Koste Its City Home B6;Sukolilo;K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.950.000 ;;;
Kost ITS Poltek Tipe B;Mulyorejo;K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.250.000 ;;;
Kost Bu Chatimah;Sukolilo;WiFi, Kasur, Akses 24 Jam;-; Rp650.000 ;;;
Kost Oma Tipe A;Mulyorejo;K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.300.000 ;;;
Kost Irene Azalia Cristanto Tipe B;Mulyorejo;WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.400.000 ;;;
Kost Adi 1;Sukolilo;WiFi, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp800.000 ;;;
Kost ITS 2 Tipe E;Sukolilo;K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.300.000 ;;;
Kost ITS 2 Tipe F;Sukolilo;K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.500.000 ;;;
Kost Emran Tipe A;Sukolilo;WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.000.000 ;;;
Kost La Koste Its Spr C41;Sukolilo;K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.850.000 ;;;
Kost Mafaza House Tipe Modern;Sukolilo;K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.500.000 ;;;
Kost Keputih Tipe 1;Sukolilo;K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.200.000 ;;;
Kost Prime Sutorejo Prima Tipe C;Mulyorejo;WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.700.000 ;;;
Kost Gebang Kidul 56 D Tipe A;Sukolilo;WiFi, Kasur, Akses 24 Jam;-; Rp550.000 ;;;
Kost Ummi Ali;Mulyorejo;WiFi, Kasur, Akses 24 Jam;-; Rp650.000 ;;;
Kost Hangtuah;Sukolilo;WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.150.000 ;;;
Kost Pak Ran;Sukolilo;WiFi, Kasur, Akses 24 Jam;-; Rp550.000 ;;;
Kost Mhsw Keputih;Sukolilo;WiFi, AC, Kasur, Akses 24 Jam;-; Rp1.300.000 ;;;
Kost Jl Keputih Tegal Timur III B;Sukolilo;K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.400.000 ;;;
Kost Homey Keputih ITS;Sukolilo;K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.200.000 ;;;
Kost Teknik Sipil Blok X;Sukolilo;WiFi, Kloset Duduk, Akses 24 Jam;-; Rp685.000 ;;;
Kost ITS 2 Tipe G;Sukolilo;K. Mandi Dalam, WiFi, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.400.000 ;;;
Kost Pelajar BME Tipe A;Sukolilo;K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.850.000 ;;;
Kost Teras Mangga Gebang Its;Sukolilo;K. Mandi Dalam, WiFi, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.600.000 ;;;
Kost B12;Sukolilo;K. Mandi Dalam, WiFi, Kasur, Akses 24 Jam;-; Rp600.000 ;;;
Kost Keputih 1 1A;Sukolilo;WiFi, Kasur, Akses 24 Jam;-; Rp600.000 ;;;
Kost Gang III;Sukolilo;WiFi, Kasur, Akses 24 Jam;-; Rp400.000 ;;;
Kost Griyaku Deluxe;Sukolilo;K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.650.000 ;;;
Kost GM21 Keputih;Sukolilo;WiFi, Kasur, Akses 24 Jam;-; Rp750.000 ;;;
Kost House Of Ds Tipe Regular;Mulyorejo;K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.750.000 ;;;
Kost Yellow Tipe A;Gubeng;WiFi, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp950.000 ;;;
Kost Kebon;Sukolilo;K. Mandi Dalam, WiFi, AC, Kasur, Akses 24 Jam;-; Rp1.500.000 ;;;
Kost Raya Kalijudan;Mulyorejo;WiFi, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp750.000 ;;;
Kost Fadil Norman;Sukolilo;K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.800.000 ;;;
Kost JK Tipe A;Mulyorejo;K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp2.500.000 ;;;
Kost H&R Tipe B;Sukolilo;WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.500.000 ;;;
Kost D 25;Sukolilo;WiFi, AC, Kasur, Akses 24 Jam;-; Rp1.200.000 ;;;
Kost Graha Keputih Tipe Executive;Sukolilo;K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.500.000 ;;;
Kost Marina V Tipe A;Sukolilo;WiFi, Kasur, Akses 24 Jam;-; Rp750.000 ;;;
Kost Sutorejo Tipe A;Mulyorejo;WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.500.000 ;;;
Kost F3 Ktt II Tipe 2;Sukolilo;K. Mandi Dalam, WiFi, AC, Akses 24 Jam;-; Rp1.400.000 ;;;
Kost Dewo Dewi Tipe D;Sukolilo;WiFi, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.200.000 ;;;
Kost Bu Tina Tipe B;Sukolilo;K. Mandi Dalam, WiFi, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.100.000 ;;;
Kost Bu Nur Tipe A2;Sukolilo;WiFi, Kasur, Akses 24 Jam;-; Rp700.000 ;;;
Kost Jantan;Mulyorejo;K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.900.000 ;;;
Kost Sutorejo Tipe B;Mulyorejo;K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.750.000 ;;;
Kost Dskuy Tipe Standard;Gubeng;K. Mandi Dalam, WiFi, AC, Kasur, Akses 24 Jam;-; Rp2.100.000 ;;;
Kost Griya Cendekia Tipe A;Sukolilo;K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.000.000 ;;;
Kost 100 Tipe Standart;Mulyorejo;WiFi, Kasur, Akses 24 Jam;-; Rp700.000 ;;;
Kost Ida Tipe A;Sukolilo;WiFi, Kasur, Akses 24 Jam;-; Rp700.000 ;;;
Kost Bani Ansor Keputih Tipe AC;Sukolilo;WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.250.000 ;;;
Kost Bu Aisyah;Sukolilo;K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.350.000 ;;;
Kost U 130;Sukolilo;WiFi, AC, Kasur, Akses 24 Jam;-; Rp1.200.000 ;;;
Kost Lokapala Guesthouse;Sukolilo;K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp2.000.000 ;;;
Kost Rorositna Tipe A;Sukolilo;K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.550.000 ;;;
Kost Cenara I;Sukolilo;K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.200.000 ;;;
Kost Ibu Tri;Sukolilo;K. Mandi Dalam, WiFi, AC, Kasur, Akses 24 Jam;-; Rp1.350.000 ;;;
Kost Nuris Kusumawan Tipe A;Sukolilo;WiFi, Kasur, Akses 24 Jam;-; Rp700.000 ;;;
Kost Putra Pak Ali;Sukolilo;WiFi, Kasur, Akses 24 Jam;-; Rp550.000 ;;;
Kost F3 Ktt II Tipe 1;Sukolilo;K. Mandi Dalam, WiFi, AC, Kasur, Akses 24 Jam;-; Rp1.500.000 ;;;
Kost Sandeq;Sukolilo;WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.600.000 ;;;
Kost Griya Moelyono;Sukolilo;WiFi, Kasur, Akses 24 Jam;-; Rp700.000 ;;;
Kost Aba Seno Tipe B;Mulyorejo;WiFi, Kasur, Akses 24 Jam;-; Rp700.000 ;;;
Kost Koshie;Mulyorejo;WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.500.000 ;;;
Kost Alanar;Sukolilo;WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.500.000 ;;;
Kost 43;Sukolilo;WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.400.000 ;;;
Kost Aba Seno Tipe D;Mulyorejo;K. Mandi Dalam, WiFi, Kasur, Akses 24 Jam;-; Rp900.000 ;;;
Kost Comfy House;Sukolilo;K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.700.000 ;;;
Kost Sisca 100 Tipe A;Mulyorejo;WiFi, Kasur, Akses 24 Jam;-; Rp700.000 ;;;
Kost Nana 1 Tipe A;Mulyorejo;WiFi, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.000.000 ;;;
Kost Indra Single Room;Mulyorejo;K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.900.000 ;;;
Kost Pak Kasno Tipe B;Sukolilo;WiFi, Kasur, Akses 24 Jam;-; Rp700.000 ;;;
Kost Keputih Hijau Ungu 9;Sukolilo;K. Mandi Dalam, WiFi, Kasur, Akses 24 Jam;-; Rp960.000 ;;;
Kost Alif Tipe A;Sukolilo;K. Mandi Dalam, WiFi, AC, Kasur, Akses 24 Jam;-; Rp1.300.000 ;;;
Kost Gebang 29 Tipe A;Sukolilo;WiFi, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp800.000 ;;;
Kost Bu Najib Keputih;Sukolilo;WiFi, Kasur, Akses 24 Jam;-; Rp750.000 ;;;
Kost Bani Ansor I Tipe B Keputih;Sukolilo;K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.250.000 ;;;
Kost Pak Anwar;Sukolilo;WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.000.000 ;;;
Kost Perumdos ITS Tipe B;Sukolilo;WiFi, AC, Kasur, Akses 24 Jam;-; Rp1.100.000 ;;;
Kost Amanah Standart;Sukolilo;K. Mandi Dalam, WiFi, Kasur, Akses 24 Jam;-; Rp900.000 ;;;
Kost Bu Aisyah Tipe B;Sukolilo;WiFi, Kasur, Akses 24 Jam;-; Rp650.000 ;;;
Kost Jantan Tipe A;Mulyorejo;K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.900.000 ;;;
Kost Mas Mus 1 Tipe A;Sukolilo;K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.600.000 ;;;
Kost Bu Ummu Salamah;Sukolilo;WiFi, Kasur, Akses 24 Jam;-; Rp600.000 ;;;
Kost Shanty Tipe A;Sukolilo;K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.000.000 ;;;
Kost Jalan Manyar Kertoadi;Mulyorejo;WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.300.000 ;;;
Kost Griya Siswa;Mulyorejo;K. Mandi Dalam, WiFi, AC, Kasur, Akses 24 Jam;-; Rp1.400.000 ;;;
Kost Aba Seno Tipe C;Mulyorejo;K. Mandi Dalam, WiFi, Kasur, Akses 24 Jam;-; Rp750.000 ;;;
Kost Gebang;Sukolilo;WiFi, Kasur, Akses 24 Jam;-; Rp700.000 ;;;
Kost Bhaskara II;Mulyorejo;K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.300.000 ;;;
Kost Ibu Nur;Sukolilo;WiFi, Kasur, Akses 24 Jam;-; Rp550.000 ;;;
Kost Umi;Sukolilo;WiFi, Kasur, Akses 24 Jam;-; Rp450.000 ;;;
Kost Putra Mulyosari;Mulyorejo;K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.300.000 ;;;
Kost G Executive;Sukolilo;WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.302.000 ;;;
Kost Wisper;Mulyorejo;WiFi, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.000.000 ;;;
Kost Anak Kuliahan Tipe A;Sukolilo;WiFi, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp650.000 ;;;
Kost 21 Eksklusif Tipe B;Mulyorejo;K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp2.000.000 ;;;
Kost Amelia Tipe A;Sukolilo;WiFi, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp700.000 ;;;
Kost Bu Nur Tipe D;Sukolilo;K. Mandi Dalam, WiFi, Kasur, Akses 24 Jam;-; Rp1.500.000 ;;;
Kost Dewo Dewi Tipe C;Sukolilo;WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.700.000 ;;;
Kost Hijau Ungu;Sukolilo;K. Mandi Dalam, WiFi, AC, Kasur, Akses 24 Jam;-; Rp1.400.000 ;;;
Kost Inas Nuri Al Salwa Tipe A;Mulyorejo;WiFi, Kasur, Akses 24 Jam;-; Rp600.000 ;;;
Kost Kiyura II;Sukolilo;K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.800.000 ;;;
Kost Gotham City;Sukolilo;WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.350.000 ;;;
Kost ITS N Hang Tuah Tipe A;Sukolilo;K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.650.000 ;;;
Kost Tojib;Mulyorejo;WiFi, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp600.700 ;;;
Kost Andalan;Sukolilo;WiFi, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp600.000 ;;;
Kost Bangber;Mulyorejo;K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.700.000 ;;;
Kost Tikungan S;Sukolilo;WiFi, Kasur, Akses 24 Jam;-; Rp625.000 ;;;
Kost Yellow Tipe B;Gubeng;WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.350.000 ;;;
Kost Luthfil Aziz tipe A;Sukolilo;K. Mandi Dalam, WiFi, AC, Kasur, Akses 24 Jam;-; Rp1.500.000 ;;;
Kost Abhipraya Tipe A;Sukolilo;K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam;-; Rp1.350.000 ;;;
Kost Blok D14;Sukolilo;WiFi, Kasur, Akses 24 Jam;-; Rp600.000 ;;;
Kost Graha F3 Tipe C;Sukolilo;WiFi, Kasur, Akses 24 Jam;-; Rp900.000 ;;;
Kost Risa Tipa A;Sukolilo;K. Mandi Dalam, WiFi, AC, Kasur, Akses 24 Jam;-; Rp1.500.000 ;;;
